count,emp_no
1,10001
1,10004
1,10009
2,10018
1,10035
1,10053
1,10058
1,10066
1,10067
2,10070
1,10072
1,10076
2,10088
1,10100
1,10103
1,10126
1,10129
1,10130
2,10134
1,10138
1,10150
1,10153
1,10157
1,10198
1,10215
1,10224
1,10233
1,10258
1,10272
1,10282
1,10283
1,10326
1,10340
1,10347
1,10355
1,10356
1,10364
1,10372
1,10387
1,10396
1,10402
1,10404
1,10426
1,10429
1,10432
1,10451
1,10453
1,10463
1,10486
1,10494
1,10504
1,10512
1,10522
2,10548
1,10564
2,10623
1,10628
1,10631
1,10642
1,10653
1,10671
1,10676
1,10693
1,10702
1,10718
1,10726
1,10734
1,10745
1,10749
1,10767
1,10768
1,10778
1,10791
1,10795
1,10808
1,10835
2,10836
1,10844
1,10847
1,10848
1,10878
1,10879
1,10883
1,10909
1,10921
1,10924
1,10927
1,10936
1,10943
1,10965
1,10969
1,10974
1,10986
1,10988
1,10989
1,10990
1,11009
2,11012
1,11019
1,11021
1,11027
1,11031
1,11037
1,11038
1,11042
1,11048
1,11050
1,11051
1,11070
1,11081
1,11085
1,11100
1,11106
1,11112
1,11113
1,11121
1,11133
1,11134
1,11137
1,11139
1,11146
2,11148
1,11162
1,11180
1,11197
1,11204
1,11207
1,11208
1,11211
1,11217
1,11232
1,11240
1,11249
1,11251
1,11268
1,11275
1,11290
1,11295
1,11319
1,11320
1,11322
1,11324
1,11338
1,11339
1,11347
1,11365
1,11376
1,11380
1,11385
1,11386
1,11393
1,11398
1,11404
1,11415
1,11421
1,11441
1,11449
1,11459
1,11469
1,11506
1,11509
1,11513
1,11515
1,11518
1,11524
1,11527
1,11528
1,11537
2,11554
1,11555
1,11567
1,11568
1,11603
1,11607
1,11615
1,11624
2,11628
1,11640
1,11647
1,11660
1,11673
1,11676
1,11681
1,11684
1,11696
2,11732
1,11735
1,11746
1,11751
1,11764
2,11769
1,11772
2,11797
1,11810
1,11817
1,11832
1,11844
1,11853
1,11857
1,11864
1,11871
1,11872
1,11894
1,11897
1,11906
1,11915
1,11931
1,11933
1,11949
1,11983
1,11993
1,12011
2,12036
1,12037
1,12050
1,12062
1,12069
1,12070
1,12076
1,12082
1,12089
1,12099
1,12112
1,12122
1,12123
2,12125
1,12149
1,12159
1,12165
1,12183
1,12192
1,12205
1,12206
1,12218
1,12221
1,12222
1,12223
1,12247
1,12249
1,12256
1,12264
1,12270
1,12272
2,12308
1,12311
1,12327
1,12341
2,12343
1,12365
1,12373
1,12395
1,12399
1,12411
1,12413
1,12417
1,12422
1,12454
1,12464
1,12475
2,12487
1,12489
1,12490
1,12497
1,12501
1,12504
1,12514
1,12528
1,12534
1,12541
1,12542
1,12551
1,12553
2,12557
1,12589
1,12596
1,12601
1,12608
2,12635
1,12638
1,12642
1,12651
1,12662
1,12663
2,12664
1,12689
1,12691
1,12697
1,12709
1,12717
1,12722
1,12726
2,12729
1,12731
1,12732
1,12734
1,12755
1,12773
1,12790
1,12795
1,12798
2,12803
1,12815
1,12819
1,12848
1,12863
1,12872
1,12879
1,12890
1,12893
1,12895
1,12905
1,12926
1,12940
1,12941
1,12949
1,12977
1,12983
